PIF: (struct, KEYWORD)
PIF: (Point, IDENTIFIER)
PIF: ({, PUNCTUATION)
PIF: (int, KEYWORD)
PIF: (x, IDENTIFIER)
PIF: (;, PUNCTUATION)
PIF: (int, KEYWORD)
PIF: (y, IDENTIFIER)
PIF: (;, PUNCTUATION)
PIF: (}, PUNCTUATION)
PIF: (;, PUNCTUATION)
PIF: (int, KEYWORD)
PIF: (main, KEYWORD)
PIF: ((, PUNCTUATION)
PIF: (), PUNCTUATION)
PIF: ({, PUNCTUATION)
PIF: (int, KEYWORD)
PIF: (k, IDENTIFIER)
PIF: (;, PUNCTUATION)
PIF: (int, KEYWORD)
PIF: (count, IDENTIFIER)
PIF: (=, OPERATOR)
PIF: (0, CONSTANT)
PIF: (;, PUNCTUATION)
PIF: (int, KEYWORD)
PIF: (num, IDENTIFIER)
PIF: (=, OPERATOR)
PIF: (2, CONSTANT)
PIF: (;, PUNCTUATION)
PIF: (cout, KEYWORD)
PIF: (<<, OPERATOR)
PIF: (Enter, IDENTIFIER)
PIF: (number, IDENTIFIER)
PIF: (of, IDENTIFIER)
PIF: (primes, IDENTIFIER)
PIF: (;, PUNCTUATION)
PIF: (cin, KEYWORD)
PIF: (>>, OPERATOR)
PIF: (k, IDENTIFIER)
PIF: (;, PUNCTUATION)
PIF: (Point, IDENTIFIER)
PIF: (p, IDENTIFIER)
PIF: (;, PUNCTUATION)
PIF: (p, IDENTIFIER)
PIF: (x, IDENTIFIER)
PIF: (=, OPERATOR)
PIF: (0, CONSTANT)
PIF: (;, PUNCTUATION)
PIF: (p, IDENTIFIER)
PIF: (y, IDENTIFIER)
PIF: (=, OPERATOR)
PIF: (0, CONSTANT)
PIF: (;, PUNCTUATION)
PIF: (while, KEYWORD)
PIF: ((, PUNCTUATION)
PIF: (count, IDENTIFIER)
PIF: (<, OPERATOR)
PIF: (k, IDENTIFIER)
PIF: (), PUNCTUATION)
PIF: ({, PUNCTUATION)
PIF: (bool, KEYWORD)
PIF: (isPrime, IDENTIFIER)
PIF: (=, OPERATOR)
PIF: (true, IDENTIFIER)
PIF: (;, PUNCTUATION)
PIF: (int, KEYWORD)
PIF: (i, IDENTIFIER)
PIF: (=, OPERATOR)
PIF: (2, CONSTANT)
PIF: (;, PUNCTUATION)
PIF: (while, KEYWORD)
PIF: ((, PUNCTUATION)
PIF: (i, IDENTIFIER)
PIF: (*, OPERATOR)
PIF: (i, IDENTIFIER)
PIF: (<=, OPERATOR)
PIF: (num, IDENTIFIER)
PIF: (), PUNCTUATION)
PIF: ({, PUNCTUATION)
PIF: (if, KEYWORD)
PIF: ((, PUNCTUATION)
PIF: (num, IDENTIFIER)
PIF: (i, IDENTIFIER)
PIF: (==, OPERATOR)
PIF: (0, CONSTANT)
PIF: (), PUNCTUATION)
PIF: ({, PUNCTUATION)
PIF: (isPrime, IDENTIFIER)
PIF: (=, OPERATOR)
PIF: (false, IDENTIFIER)
PIF: (;, PUNCTUATION)
PIF: (break, IDENTIFIER)
PIF: (;, PUNCTUATION)
PIF: (}, PUNCTUATION)
PIF: (i, IDENTIFIER)
PIF: (=, OPERATOR)
PIF: (i, IDENTIFIER)
PIF: (+, OPERATOR)
PIF: (1, CONSTANT)
PIF: (;, PUNCTUATION)
PIF: (}, PUNCTUATION)
PIF: (if, KEYWORD)
PIF: ((, PUNCTUATION)
PIF: (isPrime, IDENTIFIER)
PIF: (==, OPERATOR)
PIF: (true, IDENTIFIER)
PIF: (), PUNCTUATION)
PIF: ({, PUNCTUATION)
PIF: (cout, KEYWORD)
PIF: (<<, OPERATOR)
PIF: (num, IDENTIFIER)
PIF: (<<, OPERATOR)
PIF: (;, PUNCTUATION)
PIF: (count, IDENTIFIER)
PIF: (=, OPERATOR)
PIF: (count, IDENTIFIER)
PIF: (+, OPERATOR)
PIF: (1, CONSTANT)
PIF: (;, PUNCTUATION)
PIF: (}, PUNCTUATION)
PIF: (num, IDENTIFIER)
PIF: (=, OPERATOR)
PIF: (num, IDENTIFIER)
PIF: (+, OPERATOR)
PIF: (1, CONSTANT)
PIF: (;, PUNCTUATION)
PIF: (}, PUNCTUATION)
PIF: (return, KEYWORD)
PIF: (0, CONSTANT)
PIF: (;, PUNCTUATION)
PIF: (}, PUNCTUATION)
